original_label	predict_label	sample
质量	整体评价	看个电影看到一半就卡住了
售后和物流	价格	m3的太慢了后悔没要i5的还换不了货了
价格	整体评价	pro四代还是性价比比较好
价格	整体评价	pro的预算
购买意向	软件	买pro4128g版本在我斟酌在三之后是我最好的选择新的版本没有太多提高
价格	其他	五六千块的东西
价格	售后和物流	但说是促销
整体评价	价格	其他做的比微软好100倍
硬件	价格	刚冲完电100%
软件	其他	前前后后花了近5个小时时间总算是把所有更新弄完了（家里是200M的带宽
价格	其他	双11没有618力度大
价格	其他	双十一打折买的
价格	其他	双十一期间连同键盘盖价格5600左右
整体评价	购买意向	坚决抵制
其他	价格	幸亏有百度
价格	整体评价	性价比很高的笔记本二合一
其他	价格	我就算了
其他	价格	我是9号晚上10点50拍下
售后和物流	其他	我自己花了钱的东西你不能及时给我配送就算了
硬件	价格	才4加128
价格	整体评价	故意把原价提高太多
其他	价格	最逗比的
包装	其他	有20厘米的高度是完全空的就这样还不让开箱验货
价格	购买意向	果然不负我的克制（省下200而已
硬件	价格	毕竟4G还是太小接口数实在太少
整体评价	售后和物流	毕竟牌子货
售后和物流	价格	然后申请保价退钱也很快
硬件	价格	然而开机运存占用50多很无奈
价格	售后和物流	算是国内品牌比较划算的东西了
购买意向	整体评价	虽然只买了低配
软件	整体评价	虽然感觉软件bug还是有点多
购买意向	价格	趁这次有优惠果断入手
外观	价格	重量跟联想i230差不多
整体评价	价格	一斤多的重量对我来说也是满便携的用了半个月
售后和物流	整体评价	万幸这次没有破损总之这次的购物体验相当糟糕
硬件	整体评价	不用笔的话手触还是不那么灵敏
硬件	整体评价	也没有感觉烫手
硬件	质量	也需要三四个小时才能充满
软件	整体评价	人家除了系统不好用
其他	整体评价	作为一个资深水果用户
购买意向	整体评价	再也不用担心我的工作了强烈推荐
整体评价	其他	刚开始以为是自己不会用
其他	整体评价	刚才发给你那几个对对对
硬件	整体评价	只是个人笔用得比较少
软件	整体评价	只是使用word或者excel工作
整体评价	其他	只能当台式机使用
整体评价	质量	只要用的没问题
硬件	质量	因为体验会有质的飞跃刚开始用的时候经常会跳屏
其他	整体评价	在正常使用中看不出来
硬件	整体评价	外出临时画cad图只要一支笔加手触已经可以替代鼠标操作了
软件	硬件	好不容易找到软件
整体评价	外观	小巧轻便适合移动办公
售后和物流	整体评价	尽管我此刻的评论是复制粘贴的这一方面是为了肯定商家的服务
整体评价	其他	己经习惯了
整体评价	其他	希望能用起来给力物流十一并不理想
整体评价	其他	平板使用也就3至4次
整体评价	其他	开会演示使用
其他	整体评价	当然
整体评价	其他	很怀疑是别人拆过用了的
整体评价	购买意向	心仪已久的电脑键盘安装简单
其他	整体评价	把劳资吓坏了啊来说说手感
外观	整体评价	抱着12寸看东西确实不如8寸来的舒服
外观	硬件	拿到手后感觉轻飘飘的没有ipad厚实
硬件	整体评价	拿来笔就不能正常使用
整体评价	外观	最主要的看重的是便携
其他	整体评价	有时候不方便收件的时候
其他	整体评价	有时候不方便收件的时候
整体评价	其他	熟悉的界面
包装	整体评价	用一段后补评外面包装太差
硬件	整体评价	用了两个多月出现花屏和小白斑
硬件	整体评价	用了几天还可以笔也很好用呀
售后和物流	整体评价	电脑都打不开了起码你让我可以用到电脑基本功能啊买来就是为了办公方便打给客服
售后和物流	整体评价	目前我还没去查我的机子还剩多少天保修
其他	整体评价	结果现在只能沦为儿子看动画片专用
购买意向	其他	脑子一热买了个128G的后悔死
整体评价	其他	试用试用再说
硬件	整体评价	说好的能用十个小时呢两三个小时差不多
整体评价	其他	调用一个word简直等很久售后也联系不上
整体评价	购买意向	轻办公用着方便值得购买
硬件	整体评价	这两天用着就没那么热了
整体评价	软件	配合微软的系统也适合自己的操作习惯
硬件	整体评价	配合触控笔简直不要太方便
整体评价	其他	需要长按开机键和音量键安全启动
售后和物流	其他	10月30号报修到现在都没有什么音讯
售后和物流	其他	11早上一看又变成12号送达客服人员还非常霸气得狡辩没有改送达时间可惜我没有截图保存证据东哥
硬件	其他	3小时左右吧待机也就一晚
硬件	其他	8或9个小时应该还是能撑过的本子
其他	价格	一个月
硬件	其他	一回家就连了网
其他	整体评价	一天没审核自己去买了电池装上好了整体购物体验负分差评
其他	购买意向	一直显示下放二
其他	硬件	丁烦烦烦探讨探讨探讨探讨
售后和物流	其他	不然直接送人家不是闹了个大笑话现在笔又要等两天售后安排上门取走然后再等七到十五天才能换给我
售后和物流	其他	不用到处选择发货速度快节约了我上街的时间
硬件	整体评价	不能分区
其他	整体评价	两手分别都出现了10来个小红疙瘩
硬件	质量	两次蓝屏的UWP应用并非同一个一个是搜狐
